7	C 	D C 	S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S D S 	1
7	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S C S 	1
7	C 	D C 	S S S C S S S S S S S S S C S S S S S S S S S S S S D S S S S D S S S S C C S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S 	1
7	C 	C C 	S S S S S S S S D S S S S S S S S S C S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S 	1
7	C 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S D S D S S S S C S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S D S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S 	2
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S 	1
7	C C 	D C D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S 	1
7	C 	C C 	S S S C S S S S S D S S S S S S S S D S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S D S S S S S S S S S S D S S 	1
7	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S C S S S S S S S S S S S S S D 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S D 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S C S S S S C S S S S S S S S S S S S S S 	1
7	C C 	D C D C 	S S S S S S S S S D S S S S S C S S S S S S S S S S S S C S S D S S S S S S S S S S S S S S S S S S 	1
7	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S C S D S S S S S S S S S S S S 	1
